candidate,dimension,stratum,n_runners,n_races,n_wins,actual_rate,mean_prob,calibration_gap,ae,brier,race_log_loss
market_only__none,odds_band,11.0-21.0,1083,486,70,0.06463527239150507,0.06374001915587871,0.0008952532356263643,1.014045386987365,0.05980415043825126,
market_only__none,odds_band,2.0-3.0,220,194,97,0.4409090909090909,0.3801993475379853,0.06070974337110563,1.159678715295639,0.24332077885980855,
market_only__none,odds_band,21.0-51.0,981,455,30,0.03058103975535168,0.03154698999791967,-0.0009659502425679867,0.9693805893167087,0.029590337274268408,
market_only__none,odds_band,3.0-5.0,678,422,159,0.2345132743362832,0.24224273447261002,-0.007729460136326832,0.9680920868353193,0.17856942718385566,
market_only__none,odds_band,5.0-8.0,901,478,138,0.15316315205327413,0.1509978505904475,0.0021653014628266187,1.014339948908939,0.12871088585344817,
market_only__none,odds_band,51.0+,1008,363,3,0.002976190476190476,0.00836403203849654,-0.005387841562306064,0.355832027243819,0.0029959774366168333,
market_only__none,odds_band,8.0-11.0,583,368,65,0.11149228130360206,0.10342574405450437,0.008066537249097686,1.07799351431155,0.09913342166090525,
market_only__none,odds_band,<2.0 (odds-on),107,107,57,0.5327102803738317,0.610844067054804,-0.07813378668097226,0.872088817924195,0.24262067159672274,
market_only__none,field_size,12-15,1394,110,110,0.07890961262553801,0.07890961262553801,0.0,1.0,0.0652294685353413,2.0090161544483114
market_only__none,field_size,16+,711,41,41,0.057665260196905765,0.057665260196905765,0.0,1.0,0.04783711744449474,2.173988598159851
market_only__none,field_size,2-5,391,92,92,0.23529411764705882,0.23529411764705882,0.0,1.0,0.15379504837454133,1.2251945127352324
market_only__none,field_size,6-8,1392,202,203,0.14583333333333334,0.14511494252873564,0.0007183908045977072,1.004950495049505,0.10996302334132024,1.6199813798587395
market_only__none,field_size,9-11,1673,173,173,0.10340705319784818,0.10340705319784818,0.0,1.0,0.07949542547690024,1.7515171961639433
market_only__none,regime,all_weather / middle(9.5-12f),131,14,14,0.10687022900763359,0.10687022900763359,0.0,1.0,0.08867102638095403,1.8356328924361913
market_only__none,regime,all_weather / mile(7-9.5f),609,63,63,0.10344827586206896,0.10344827586206896,0.0,1.0,0.07249716107115438,1.563839132448471
market_only__none,regime,all_weather / sprint(<7f),355,40,40,0.11267605633802817,0.11267605633802817,0.0,1.0,0.08593125781935798,1.7283468436878544
market_only__none,regime,all_weather / staying(>=12f),207,23,23,0.1111111111111111,0.11111111111111113,-2.7755575615628914e-17,0.9999999999999998,0.08720885944251272,1.7547845072604966
market_only__none,regime,turf / middle(9.5-12f),306,40,41,0.13398692810457516,0.13071895424836602,0.0032679738562091387,1.025,0.09818293179368663,1.6576840734223424
market_only__none,regime,turf / mile(7-9.5f),1284,139,139,0.10825545171339564,0.10825545171339564,0.0,1.0,0.0840335616979892,1.7161183560874627
market_only__none,regime,turf / sprint(<7f),1145,115,115,0.10043668122270742,0.10043668122270742,0.0,1.0,0.07691421755293294,1.7667881729108637
market_only__none,regime,turf / staying(>=12f),1524,184,184,0.12073490813648294,0.12073490813648294,0.0,1.0,0.09239235790276537,1.692113156427559
market_only__none,region,IRE,1818,175,175,0.09625962596259625,0.09625962596259625,0.0,1.0,0.07546641511904745,1.8136660021685898
market_only__none,region,UK,3743,443,444,0.11862142666310446,0.11835426128773711,0.0002671653753673481,1.002257336343115,0.08921783761242073,1.6607231782705059
market_only__none,selected_bet,EV<0.05,5208,570,571,0.10963901689708141,0.10944700460829496,0.00019201228878645837,1.001754385964912,0.08370816128703179,
market_only__none,selected_bet,EV>=0.05,353,48,48,0.1359773371104816,0.1359773371104816,0.0,1.0,0.0996832999627693,
