feature,psi,mean_ref,mean_rebuilt,std_ref,std_rebuilt,lgbm_v3_importance_pct
hot_connection_z,8.09376358157557,0.0,0.20616730210922088,0.0,0.9434836889935884,0.17
jockey_form_zscore,6.194993063772795,0.0,-0.00980338400798121,0.0,0.9094462450722972,0.08
trainer_form_zscore,6.127025492377573,0.0,-0.009044414726093998,0.0,0.9285505028160619,0.09
jockey_hot_strike_rate,0.43892007847755066,0.11395196241866383,0.11672344848137883,0.05875499483504586,0.09672064237076354,6.7
trainer_hot_strike_rate,0.42518918177793447,0.11540129291076716,0.12326658661484931,0.06057755494332849,0.10386300523554107,9.35
hot_connection,0.09277982375359257,0.014651822188772054,0.017137159972705967,0.01845073890607327,0.025674475615439205,1.27
market_book_pct,0.017968550116642095,96.60738128405768,110.56989639783535,106.72306167078801,108.93393543389553,0.95
odds_value_delta,0.0168314380310325,0.06794026833815708,0.0807443626255543,0.12135707304466974,0.1286940638463357,1.39
implied_prob,0.0076864848261377645,0.19561743867964396,0.21087582274156763,0.1810376040816409,0.18758739382415682,5.33
log_odds,0.007674739328582562,2.147611124939363,2.056575219516623,1.1658583859586158,1.158268113157901,8.42
form_market_disagreement,0.0028104317894999133,0.18964129829285067,0.19772101014172777,0.18150365619824907,0.18354280145946944,1.01
overround_norm_prob,0.0011554697949525314,0.12767717034148687,0.13013146011601334,0.11663488363257729,0.11712520888909975,1.69
race_complexity,0.0006979707700165409,-0.012720458074899613,-0.026269637636362274,0.5740262742644341,0.5740485114689795,2.36
is_steaming,0.0005678510747992078,0.2904129184337507,0.2796559755593422,0.4539529218328067,0.44883015818157185,0.1
relative_market_share,0.0005157813102180328,0.10781815286531696,0.1075089921596409,0.09890208013866722,0.09613959524864454,31.61
price_steam_pct,0.0004647095701224872,-0.15333079320759144,-0.14956202509477456,0.8023114844611837,0.8130875177184615,3.4
market_confidence,0.00039127683350277437,0.7341339199645066,0.7386228561381266,0.2620227031843909,0.25960691731588215,1.05
market_rank,0.0003619338130636354,5.220348331784526,5.157949524198476,3.5241056099246113,3.4988022931878993,2.61
is_drifting,0.0003317631011226746,0.29695574650696593,0.28866745984533015,0.45691687550741283,0.45314297685363597,0.18
field_size,2.05548875242035e-05,10.76148646606695,10.770919247018018,3.9099372855041343,3.903599953006448,4.14
going_speed,1.9860673817279516e-05,2.0534980395861875,2.0497006624393355,1.2075062733454343,1.2096075005475564,
jockey_win_rate,5.742330287726151e-06,0.11272815712494609,0.11260832488137536,0.09505365730528614,0.09484504513346728,1.63
trainer_win_rate,4.292780501978508e-06,0.11258595136399083,0.11262182102997004,0.09567283118910391,0.09571230346413326,3.04
jt_combo_win_rate,3.047871665767519e-06,0.13162788607528123,0.13149333942078628,0.16188398378744695,0.16178376157197563,1.44
distance_runs,2.1940821378267793e-06,3.147609021950458,3.1513904153096925,3.3676974900492738,3.3698050341849157,0.24
horse_speed_rank,2.19194648096501e-06,5.29135417798872,5.2954610696295665,3.585461979550467,3.5858538732064913,0.39
class_par_rank,2.19194648096501e-06,5.29135417798872,5.2954610696295665,3.585461979550467,3.5858538732064913,0.11
distance_furlongs,1.5327382125708126e-06,11.684140455982693,11.681334258149946,5.920748076607673,5.918254287768101,0.45
distance_place_rate,1.1613345334726666e-06,0.36523514479920355,0.364899946089347,0.34107104959799384,0.3409785643124575,0.41
course_win_rate,9.55232275266912e-07,0.14684357188370767,0.14654764452949334,0.3050246531448541,0.3046665933089521,0.19
historical_place_rate,9.256193764597626e-07,0.34363718658147696,0.3433507749246574,0.31869818066326017,0.3186175285822869,0.42
distance_win_rate,9.149939354385336e-07,0.12247100120260253,0.12230031118779346,0.2191772841876875,0.21902755638589583,0.36
speed_distance_profile,8.766134889066804e-07,639.6699492883549,639.3433150241106,463.2797197728699,463.0308779695692,1.29
historical_win_rate,7.705099089818933e-07,0.11276482557578595,0.11262470479816218,0.1985505650236763,0.1984466544110925,0.47
horse_speed,7.133421111719966e-07,53.57470634014691,53.56458745431569,21.70356443351241,21.702109915026124,1.15
class_par_speed,7.133421111719966e-07,53.57470634014691,53.56466803360018,21.70356443351241,21.70188627688068,0.24
jt_combo_runs,6.772431736873181e-07,10.728117539211636,10.724704826626605,8.177515382621104,8.177430865848555,1.99
going_pref_win_rate,6.579420076398698e-07,0.12195101509380908,0.12178816235929923,0.23838551667057206,0.2382645620360885,0.33
going_pref_place_rate,6.568178599782643e-07,0.36214062053570056,0.3618696833338617,0.3656225856339691,0.36555875424102857,0.35
course_place_rate,6.437982426937357e-07,0.4091107765550295,0.408799598812703,0.42921898587446455,0.4290871031422971,0.26
days_since_last_run,4.586881469621858e-07,42.39717784751882,42.409308682573744,55.93376790368511,55.969600238965846,1.39
horse_career_runs,2.296706703735363e-07,4.891965266095156,4.895018098589419,5.152392499633556,5.157056929432602,0.73
course_runs,1.938278135585466e-07,0.631042923772779,0.6318247814557517,1.4005587528182883,1.4020489054288408,0.16
speed_trend,1.0238233978963321e-07,0.39037854046498166,0.3913926941536652,11.573083984180332,11.573293040315349,0.95
freshness_band,6.687724086415039e-08,2.88897339552126,2.8892734349005336,1.3726879590093342,1.3725044717696429,0.08
recent_form_runs,0.0,0.0,0.0,0.0,0.0,
recent_form_wins,0.0,0.0,0.0,0.0,0.0,
class_change,,,,,,
pace_bias,,,,,,
rating_rank,,,,,,
recent_form_avg,,,,,,
timeform_rating,,,,,,
