source,race_id,venue,race_time,market_id,market_name,validation_status,runners,unique_selections,booksum
paddy_power,35856079.1210,Ascot,2026-07-25T13:10:00+01:00,927.393377940,6f Mdn Stks,VALID,9,9,1.4184149184149184
paddy_power,35856079.1245,Ascot,2026-07-25T13:45:00+01:00,927.393377939,6f Grp 3,VALID,11,11,1.157047314161383
paddy_power,35856079.1320,Ascot,2026-07-25T14:20:00+01:00,927.393377933,1m Grp 3,VALID,8,8,1.1628927544219898
paddy_power,35856079.1355,Ascot,2026-07-25T14:55:00+01:00,927.393377945,7f Hcap,VALID,16,16,1.3719038280380143
paddy_power,35856079.1435,Ascot,2026-07-25T15:35:00+01:00,927.393377943,1m4f Grp 1,VALID,9,9,1.1274974830793298
paddy_power,35856079.1510,Ascot,2026-07-25T16:10:00+01:00,927.393391317,1m4f Hcap,VALID,15,15,1.3669755253346585
paddy_power,35856096.1230,York,2026-07-25T13:30:00+01:00,927.393378160,5f Hcap,VALID,17,17,1.3710266410721779
paddy_power,35856096.1300,York,2026-07-25T14:00:00+01:00,927.393378169,6f Hcap,VALID,21,21,1.3945023520298152
paddy_power,35856096.1335,York,2026-07-25T14:35:00+01:00,927.393378172,1m3f Grp 2,VALID,5,5,1.0985994397759105
paddy_power,35856096.1405,York,2026-07-25T15:05:00+01:00,927.393378162,1m Hcap,VALID,16,16,1.3834109717903889
paddy_power,35856096.1442,York,2026-07-25T15:42:00+01:00,927.393378165,6f Nov Stks,VALID,6,6,1.1418894830659536
paddy_power,35856097.1235,Newcastle,2026-07-25T13:35:00+01:00,927.393378374,1m2f Hcap,VALID,13,13,1.3349017437252733
paddy_power,35856097.1305,Newcastle,2026-07-25T14:05:00+01:00,927.393378365,1m4f Hcap,VALID,13,13,1.349710454785672
paddy_power,35856097.1339,Newcastle,2026-07-25T14:39:00+01:00,927.393378387,6f Nov Stks,VALID,14,14,1.2518799311430582
paddy_power,35856097.1415,Newcastle,2026-07-25T15:15:00+01:00,927.393378368,1m Hcap,VALID,14,14,1.3437264760064442
paddy_power,35856097.1500,Newcastle,2026-07-25T16:00:00+01:00,927.393378382,1m Hcap,VALID,13,13,1.3565954856976528
paddy_power,35857978.1225,Globe Derby,2026-07-25T13:25:00+01:00,927.393187153,R7 1800m Pace M,VALID,7,7,1.2990208106307177
paddy_power,35857978.1253,Globe Derby,2026-07-25T13:53:00+01:00,927.393187157,R8 2230m Trot M,VALID,7,7,1.31620215533259
paddy_power,35857986.1214,Northam,2026-07-25T13:14:00+01:00,927.393209514,R6 2190m Pace M,VALID,10,10,1.290039717211309
paddy_power,35857986.1248,Northam,2026-07-25T13:48:00+01:00,927.393209517,R7 1780m Pace M,VALID,10,10,1.339196776177293
paddy_power,35857986.1324,Northam,2026-07-25T14:24:00+01:00,927.393209519,R8 1780m Pace M,VALID,10,10,1.382973126730431
paddy_power,35859388.1215,Vichy,2026-07-25T13:15:00+01:00,927.393530417,1m Hcap,VALID,12,12,1.320671243338586
paddy_power,35859388.1250,Vichy,2026-07-25T13:50:00+01:00,927.393530414,1m Hcap,VALID,12,12,1.377941502941503
paddy_power,35859454.1158,ENGHIEN,2026-07-25T12:58:00+01:00,927.393534435,Win or Each Way,INVALID,13,13,0.0
paddy_power,35859454.1233,ENGHIEN,2026-07-25T13:33:00+01:00,927.393534441,Win or Each Way,VALID,13,13,1.3437486632608584
paddy_power,35859454.1315,ENGHIEN,2026-07-25T14:15:00+01:00,927.393534447,Win or Each Way,VALID,15,15,1.4532953186097202
